PARADA;PARTIDA;BG_COLOR;TXT_COLOR;LINHA;DESTINO;CARRO
03;18:38;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2037
01;18:40;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2046
02;18:40;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2301
07;18:42;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2312
05;18:45;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2309
03;18:48;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
06;18:54;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2071
01;18:56;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2085
03;19:00;#806000;#FFFFFF;L003/10;VILA RICA;P 2035
02;19:00;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2302
04;19:02;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2038
05;19:02;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2033
07;19:02;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2313
08;19:03;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
06;19:18;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2072
08;19:20;#92D050;#FFFFFF;L007/42;GENEVE;P 2306
02;19:20;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02540
01;19:22;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2083
03;19:25;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2047
04;19:27;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2044
03;19:40;#806000;#FFFFFF;L003/10;VILA RICA;P 2036
02;19:40;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02541
08;19:42;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
07;19:42;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2314
05;19:50;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2030
04;19:50;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2039
06;19:52;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2073
01;19:58;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2045
02;20:00;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02542
03;20:02;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
06;20:10;#92D050;#FFFFFF;L007/42;GENEVE;P 2305
07;20:22;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2311
04;20:25;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2043
01;20:25;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2303
06;20:26;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2074
03;20:30;#806000;#FFFFFF;L003/10;VILA RICA;P 2034
08;20:30;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2040
02;20:30;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02543
05;20:32;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2031
01;20:34;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2084
03;20:42;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
01;20:55;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2304
06;21:00;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2075
02;21:00;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02544
04;21:02;#92D050;#FFFFFF;L007/42;GENEVE;P 2306
03;21:02;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
07;21:02;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2312
01;21:10;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2046
04;21:10;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2037
05;21:14;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2032
03;21:20;#806000;#FFFFFF;L003/10;VILA RICA;P 2035
02;21:30;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2300
04;21:31;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2044
06;21:34;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2076
03;21:42;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
07;21:42;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2313
04;21:50;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2038
06;21:54;#92D050;#FFFFFF;L007/42;GENEVE;P 2305
05;21:56;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2033
02;22:00;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2301
03;22:02;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
03;22:10;#806000;#FFFFFF;L003/10;VILA RICA;P 2036
02;22:30;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2302
